,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,residence_area_type1,sourcing_channel1,premium,renewal_prob,incentives,hours
50790,0.45,26295,187570,0.0,0.0,0.0,98.49,17,1,0,9600,0.575418561766896,280.45692110643245,5.039816231119753
48487,0.005,22277,159410,0.0,0.0,0.0,99.62,13,1,0,7500,0.9000890251101802,321.750273928616,5.526328625132454
53770,0.072,21185,275130,0.0,0.0,0.0,99.07,11,1,0,3300,0.8558826159021289,156.41032680666157,3.2363730585305572
62293,0.007,25930,90060,0.0,0.0,0.0,99.61,11,0,0,5400,0.8661701268614742,247.73295836373057,4.616963085919177
50887,0.097,18991,90100,0.0,0.0,0.0,99.15,8,0,1,3300,0.8111734756394892,147.34823623659926,3.081392629061057
52909,0.107,17162,175120,0.0,0.0,0.0,99.88,4,1,3,11700,0.8499354947894586,407.5780266216643,6.390244554432831
60686,0.87,18622,387080,0.0,0.0,0.0,99.39,9,0,1,9600,0.5632578733486254,276.17924035515307,4.986486372665201
14741,0.007,15342,60110,0.0,0.0,0.0,97.59,12,1,0,5400,0.7098954811983031,210.3431071640306,4.089518352808832
65977,0.015,23009,190090,0.0,0.0,0.0,99.49,20,1,1,5400,0.8527678317501207,244.73505499436928,4.576466959883194
41159,0.23,9505,169600,0.0,0.0,0.0,99.45,7,1,2,7500,0.7866264914559957,293.77792187062755,5.202282479212206
31136,0.05,16070,173310,0.0,0.0,0.0,99.2,8,1,3,11700,0.8677626094270966,412.4121449306869,6.433606965108698
70192,0.347,21547,130120,0.0,0.0,0.0,99.61,9,1,0,9600,0.7475617043791071,334.7656697667199,5.669552356345338
30908,1.0,9497,60120,0.0,3.0,1.0,99.45,3,1,0,3300,0.2242817966757855,-38.82606692342733,-1.0193218123570658
61025,0.578,14605,240090,2.0,0.0,0.0,98.52,14,0,4,11700,0.30518976965368866,197.4430940995308,3.895798175453744
13129,0.262,14980,294060,0.0,0.0,0.0,99.33,11,1,1,18000,0.8171302320816696,502.90899044243116,7.155712442994336
72955,0.032,21183,179330,0.0,0.0,0.0,99.14,12,1,0,13800,0.8975512283398354,459.9649840785387,6.833355110870622
5814,1.0,22275,147620,0.0,0.0,0.0,99.39,7,0,0,7500,0.5771695679919829,232.95929558219288,4.414427946530531
17772,0.089,22280,125010,0.0,0.0,0.0,99.59,21,0,0,13800,0.8244251481627687,439.3618864771902,6.665974686600697
47725,0.215,15701,42040,0.0,0.0,0.0,92.7,14,1,1,5700,0.6337617924354334,199.53840980882416,3.927690147779237
62362,0.129,18989,324520,0.0,0.0,0.0,99.12,11,1,2,13800,0.8609550376665063,449.8206815360417,6.7520195955974405
62563,0.263,16074,205080,0.0,0.0,0.0,99.04,11,0,0,20100,0.7533679689566491,510.35423221519073,7.208163808658234
6113,0.68,10593,60150,0.0,1.0,0.0,99.35,11,1,0,3300,0.29043830341262317,-5.632321640851765,-0.1418040556470479
76868,0.019,23009,65060,0.0,0.0,0.0,99.59,10,1,0,5400,0.829559467056618,239.45896188242438,4.50445541614016
5891,0.0,11688,34170,0.0,0.0,0.0,98.19,10,1,0,5700,0.710128923530162,220.38211533610402,4.236010798748721
31406,0.43,19720,210070,0.0,0.0,0.0,99.01,22,0,1,13800,0.6125060771357521,370.5656943911855,6.040289735671362
76140,0.262,16073,69140,0.0,0.0,0.0,96.84,10,1,2,3300,0.7117030871911221,125.7407794625942,2.6973803179246714
66245,0.145,17526,170570,0.0,0.0,0.0,98.97,7,1,1,7500,0.8151756508764323,301.0876532619434,5.28916130130715
45905,0.001,23735,82980,0.0,0.0,0.0,98.7,8,0,0,9600,0.8527343455593632,363.44713637316255,5.969190387993604
30989,0.903,20820,156940,0.0,0.0,0.0,99.6,12,0,0,1200,0.5193078594740599,-59.91194096796607,-1.6157849588334416
13192,0.28,21915,330030,0.0,0.0,0.0,98.97,15,0,1,15900,0.8429323938118864,479.46068780781445,6.983994199234761
63696,0.0,22644,118560,0.0,0.0,0.0,99.65,5,1,1,9600,0.8866675366689472,372.1308712531951,6.055753578594189
6708,0.033,14612,214350,0.0,0.0,0.0,99.89,7,1,0,13800,0.87777772902494,454.5238440777643,6.7899854084055855
72948,0.156,13878,121050,0.0,0.0,0.0,99.54,7,1,1,7500,0.8404157542422895,307.3918351512085,5.3628242557297225
35286,0.402,19352,283320,0.0,0.0,0.0,99.38,15,0,1,11700,0.7437573711898158,377.07944541454486,6.104248971077373
45741,0.193,13516,270130,0.0,0.0,0.0,99.25,14,0,2,7500,0.8019348718322953,297.7217638248756,5.24935364544755
17881,0.021,18258,92470,0.0,0.0,0.0,99.77,11,1,0,3300,0.8225874006699019,149.69693308116373,3.121897872764652
22478,0.174,22278,111090,0.0,0.0,0.0,98.37,13,1,3,7500,0.7330505074806689,279.5050567719873,5.027998620689383
75040,0.352,10963,76410,0.0,0.0,0.0,98.09,6,0,3,3300,0.48093421858429325,64.9155439666828,1.4980441835826186
69759,0.156,20817,180070,0.0,0.0,1.0,98.78,13,0,0,7500,0.3092961077591172,123.73101097335059,2.6605965494194206
61982,0.623,24103,75220,0.0,0.0,0.0,99.51,8,0,0,5400,0.6804029601295606,202.605600040996,3.974074407483168
43045,0.785,23009,766430,0.0,0.0,1.0,99.23,19,0,0,49500,0.42614778220813193,598.6907814423948,7.761383280024377
69448,0.0,20080,167440,0.0,0.0,0.0,99.83,15,0,0,11700,0.8424386372869915,405.5222064425943,6.37164427662732
54640,0.378,24466,91700,0.0,0.0,0.0,98.82,11,0,0,3300,0.6697246521442887,115.92966488289888,2.5160484783888224
42634,0.939,16068,225290,0.0,0.0,0.0,98.66,9,1,1,11700,0.49120022546632924,288.44398923088585,5.137877262011469
55813,0.835,21915,75050,1.0,0.0,0.0,97.45,13,1,0,3300,0.355440495235696,21.653788664286694,0.5269528770133236
6089,0.027,18995,168110,0.0,0.0,0.0,99.26,9,0,0,7500,0.864499674718306,313.276148167874,5.430541432180402
28563,1.0,28482,54080,2.0,0.0,0.0,99.4,3,1,0,3300,0.45641591746664234,57.21168045635455,1.3327124094265086
41196,0.018,23008,147910,0.0,0.0,0.0,99.64,7,1,1,9600,0.9247522426203318,381.58372678104945,6.147871795195997
1844,0.127,29210,114070,0.0,0.0,0.0,99.83,3,1,1,5400,0.884720854005851,251.82559445065075,4.671759309466534
44138,0.0,22637,66100,1.0,0.0,0.0,98.84,8,0,0,3300,0.5890213285288075,95.67136233675295,2.1272558451188353
37983,0.032,20810,180060,0.0,0.0,0.0,99.14,8,1,0,11700,0.8834019579587935,416.5914830456182,6.470675879332541
76171,0.042,30673,498130,0.0,0.0,0.0,99.89,10,0,0,7500,0.9086587182915765,323.7531040266995,5.548672648543638
441,0.083,24830,100050,0.0,0.0,0.0,97.83,26,1,0,5700,0.733512536109952,226.4261711534679,4.322450775221189
36090,1.0,28117,64400,0.0,0.0,0.0,99.62,4,1,0,3300,0.6564918820048721,112.74018954020181,2.4561352339472506
1337,0.249,10598,69050,0.0,0.0,0.0,99.27,10,1,0,5400,0.7662047768014812,224.46901587247203,4.294603089350318
65343,0.061,20817,171050,0.0,0.0,0.0,99.25,11,1,1,13800,0.8915930182562352,458.3351442217498,6.8204259781070995
29241,0.057,25198,217260,0.0,0.0,0.0,98.83,18,1,0,9600,0.801397309188777,349.8012407188164,5.829307908612593
22568,0.047,25923,73530,0.0,0.0,0.0,99.58,16,1,0,1200,0.8015581340116444,-5.161203512964454,-0.12986611790043678
65739,0.768,24832,65400,1.0,0.0,0.0,98.31,14,1,0,3300,0.41997133243372403,45.1504705807581,1.0673873995296024
10887,0.001,23731,75030,0.0,0.0,0.0,99.1,6,0,0,3300,0.875867874375007,160.34572280661408,3.302590659821323
51902,0.876,19715,205650,0.0,0.0,0.0,98.63,21,0,1,9600,0.448873836331904,232.10311020194067,4.402459429181809
40025,0.664,19715,157500,0.0,0.0,0.0,98.89,18,0,0,13800,0.521092413590612,335.19792191589903,5.674229442041958
7360,0.0,18259,150050,0.0,0.0,0.0,99.56,17,0,0,13800,0.8273996277336306,440.2265370001474,6.673173819706659
55619,0.197,24826,373250,0.0,0.0,0.0,99.1,15,1,0,18000,0.8713922885122752,519.4234309393383,7.2707509021057914
66122,0.031,13146,214990,0.0,0.0,0.0,99.29,11,1,1,11700,0.8673547443639995,412.30238370610726,6.432628201659893
50968,0.0,28116,66050,0.0,0.0,0.0,99.88,5,0,0,3300,0.8985654800809926,164.7338094204971,3.3756611581021834
38625,1.0,19358,213530,0.0,0.0,0.0,99.57,5,0,0,22200,0.5628087666409994,462.0961972249236,6.850182231381927
38184,0.255,19355,265490,0.0,0.0,0.0,99.11,10,0,1,13800,0.7971941296622513,431.3338598942144,6.598384576794225
9089,0.165,14241,339650,1.0,0.0,0.0,99.4,10,1,2,36900,0.5950334795292838,609.8094143590503,7.822752298073734
1477,0.053,23731,405080,0.0,0.0,0.0,99.77,6,0,0,5400,0.9168205866834237,258.75780224228544,4.763304930681706
2096,1.0,13519,171970,1.0,0.0,0.0,99.51,5,0,1,9600,0.36164726512252565,192.40125191116127,3.818370170129465
77717,0.09,18265,138200,0.0,0.0,0.0,99.41,16,1,2,7500,0.8125578501641657,300.4254546631989,5.28135606535643
4636,0.16,17532,112570,0.0,0.0,0.0,99.29,9,1,0,5400,0.8176008123530185,236.69696358578076,4.466377391183984
43529,0.071,20454,360080,0.0,0.0,0.0,99.52,9,1,3,20100,0.9168866434633646,561.9148062172331,7.545806786121978
68951,0.891,18257,231040,0.0,0.0,0.0,99.51,7,1,2,9600,0.5464476980570994,270.1504880278787,4.9103509822762454
8073,1.0,10230,26460,1.0,1.0,0.0,98.54,4,0,2,5700,0.21092032795429272,25.07190725443695,0.6075579854344659
23859,0.824,10599,125070,1.0,0.0,0.0,99.57,5,1,0,9600,0.3556301276117494,189.40645248715677,3.77191462720905
21460,0.011,12416,117270,0.0,0.0,0.0,98.64,17,0,0,11700,0.7463698987298227,377.8681288276275,6.111922688968827
21762,0.794,19725,323100,0.0,0.0,0.0,99.36,6,0,2,22200,0.6909747991167603,513.6759689893628,7.231252171503941
10910,0.043,13519,215520,0.0,0.0,0.0,99.47,10,1,2,18000,0.8740091474995458,520.1996003641989,7.276041666540256
46862,0.202,15700,150100,1.0,0.0,1.0,99.63,8,1,3,9600,0.3523209203796949,187.743128309019,3.745962393422635
63197,0.142,9505,127540,0.0,0.0,0.0,99.28,6,1,0,11700,0.8211661747599136,399.61245055493987,6.317639574224194
64091,0.024,26653,156590,0.0,0.0,0.0,99.89,7,1,0,11700,0.9424147556424225,431.87377057821976,6.602972900765852
46227,0.215,22279,120140,0.0,0.0,0.0,98.94,18,0,0,1200,0.7572465091908014,-12.631609184532085,-0.32082930622759687
31839,0.377,12054,203790,0.0,0.0,0.0,99.62,13,1,2,11700,0.7339326172939097,374.0946781242801,6.075070467055211
2321,0.574,17892,100120,0.0,0.0,1.0,99.16,11,1,3,3300,0.40642051687269815,40.46006768943983,0.9620269984417595
26507,0.779,29570,201230,1.0,0.0,0.0,98.63,16,1,0,20100,0.452252211238241,386.94736990256473,6.19918062595392
1777,0.02,17168,360140,0.0,0.0,0.0,99.8,6,1,2,18000,0.890005470507939,524.9055514963602,7.307900925925899
41049,0.759,17162,129120,0.0,0.0,0.0,98.74,14,1,2,5700,0.38823662245114815,116.13669263830984,2.5199209403812928
48836,0.046,9500,123130,0.0,0.0,0.0,99.49,8,1,0,5400,0.8452803986954005,243.0447946405978,4.553500512776033
73953,0.024,10961,30150,0.0,0.0,0.0,99.38,6,0,0,1200,0.8211479817762309,-1.9608400853605281,-0.04914135164127753
44442,0.016,23005,110480,0.0,0.0,0.0,98.22,13,0,1,9600,0.7580856315957452,337.76742273466925,5.701928059744478
14466,0.139,16439,148590,0.0,0.0,0.0,98.03,13,0,1,13800,0.7014083857736155,401.32887782199174,6.333406980128087
4998,0.096,17899,200070,0.0,0.0,0.0,98.02,25,0,1,18000,0.632674231445422,439.59528485892974,6.667919509429456
66203,0.05,10226,111390,0.0,0.0,0.0,99.47,9,1,0,3300,0.7966375734071569,144.3206386741612,3.0288270487082247
70882,0.227,21181,158630,0.0,0.0,0.0,99.08,11,0,1,5400,0.7782180892286592,227.38109273160663,4.335988644950888
18482,0.161,24460,145530,0.0,0.0,0.0,99.88,3,1,1,15900,0.8877956863503711,492.4773550341345,7.080560325976681
74918,0.491,22640,48100,0.0,0.0,0.0,95.64,17,1,0,3300,0.5878867456076319,95.37187311776924,2.121359132896621
53584,0.299,10231,141030,2.0,0.0,0.0,99.6,9,0,0,3300,0.456492661096935,57.2362842120589,1.3332455125971598
65838,0.925,17899,88030,1.0,1.0,0.0,98.58,9,0,1,7500,0.07554063366249532,-71.26264844226135,-1.9501247075307493
28073,0.002,24100,375050,0.0,0.0,0.0,99.75,6,1,0,22200,0.9140330039091021,588.0149911552639,7.700831317734213
64523,0.0,22279,95380,0.0,0.0,0.0,98.92,21,1,0,3300,0.7629922549117637,137.14899577807554,2.9027129630849178
64069,0.134,19719,178600,0.0,0.0,0.0,99.31,6,1,2,9600,0.8676317951527598,367.2909704372377,6.007739280147167
20229,0.146,18623,240060,0.0,0.0,0.0,98.54,7,0,3,24300,0.7464201186931656,557.6459015114589,7.5194747323661275
32607,0.084,12421,300100,0.0,0.0,0.0,99.06,10,1,2,24300,0.8044594396601623,577.8325004543287,7.641551843703496
73299,0.049,19360,300140,0.0,0.0,0.0,99.28,7,1,0,3300,0.8772703137303827,160.61932740612068,3.3071701984148705
63981,0.187,21177,130540,0.0,0.0,0.0,99.01,16,1,0,7500,0.7501836541743495,284.15212664613307,5.08542747444781
16457,0.038,17534,297570,0.0,0.0,0.0,99.32,10,1,2,22200,0.902712337796311,584.604729945948,7.681145605773092
9117,0.278,9863,96130,0.0,0.0,0.0,99.64,8,1,0,5400,0.7642672724814316,223.99614345198125,4.287854288866777
43738,0.0,15707,108080,0.0,0.0,0.0,97.81,8,0,3,11700,0.7567651585890197,380.9858428828453,6.142109676352517
30618,0.268,10955,84250,1.0,1.0,0.0,99.34,14,1,1,7500,0.2255088766162505,74.40818911692942,1.6974340286295186
13860,0.559,21181,75050,0.0,0.0,0.0,99.36,9,1,0,1200,0.6259256656718494,-36.984446125947365,-0.9687048926744346
23027,0.015,25559,77970,0.0,0.0,0.0,99.4,4,1,0,1200,0.911451358119301,12.067409432053497,0.2971799562748212
55518,0.004,28844,112610,0.0,0.0,0.0,99.89,13,1,0,7500,0.9022869969553056,322.2653302332041,5.532085399624007
27083,0.921,13514,225110,0.0,0.0,0.0,98.91,12,0,2,11700,0.4285349417914035,261.2332813400641,4.795613177541283
36993,0.136,18995,180060,0.0,0.0,0.0,99.24,13,1,0,11700,0.8361708367227637,403.7927773954904,6.3559228553113005
48491,0.402,14606,384040,0.0,0.0,0.0,99.21,20,1,1,15900,0.6813998581739236,427.69878947577547,6.567330908672609
68024,0.007,28842,195060,0.0,0.0,0.0,99.25,11,0,0,13800,0.9265008371813352,467.7685612862773,6.894534294588944
78795,0.125,12783,192140,0.0,0.0,0.0,99.43,12,0,0,18000,0.8165747728523115,502.7356295103461,7.154479454968692
43015,1.0,28850,45120,0.0,0.0,0.0,99.3,3,1,0,1200,0.5813853781125555,-46.156959166141654,-1.2231374475229284
55788,0.049,23005,211470,0.0,0.0,0.0,99.88,4,0,1,13800,0.9362634708870733,470.3581764148016,6.914574257285533
71048,0.003,27387,352630,0.0,0.0,0.0,99.68,8,1,1,22200,0.9336419591253018,593.8443997453224,7.734095326292366
72603,0.936,17890,160530,0.0,0.0,0.0,98.52,12,1,3,9600,0.4387238711449957,227.79898346766447,4.341902899708121
18636,0.944,18986,190280,0.0,1.0,0.0,98.4,14,1,2,9600,0.28054210604352997,148.36967104783952,3.099037356833876
78065,1.0,15345,331310,0.0,0.0,0.0,99.81,5,1,3,18000,0.5390435582313545,401.8850274921088,6.338501373996708
39825,0.018,23738,157650,0.0,0.0,0.0,99.87,6,0,3,13800,0.8986835481774108,460.2738049281192,6.835798982263634
62029,1.0,16438,145160,0.0,0.0,0.0,98.81,8,0,1,7500,0.4612725682735748,191.76829348675753,3.808580640021849
56131,0.8,17526,182610,2.0,1.0,1.0,99.42,8,0,2,9600,0.14556304661549893,46.33780282718355,1.0938630333361088
77630,0.922,21912,54150,1.0,2.0,1.0,96.61,14,0,0,1200,0.20510285603138642,-161.83162795377226,-4.986715312883392
35713,0.883,18622,103970,4.0,0.0,0.0,98.07,18,1,1,7500,0.10754316799518567,-27.99282209579459,-0.7248893552443558
51032,0.225,12052,46150,0.0,0.0,0.0,98.87,6,1,1,5700,0.755865032868096,232.0699082689221,4.40199478698055
79408,0.786,20454,171040,1.0,0.0,0.0,99.2,10,1,0,3300,0.3049010708552754,0.8211702388221208,0.020508197865724
11750,0.076,17525,129620,0.0,0.0,0.0,99.36,5,0,0,7500,0.8566502009307714,311.37198811341693,5.408737123551521
18177,0.04,16802,69170,0.0,0.0,0.0,97.38,8,0,2,3300,0.7793673684083346,140.6686978414058,2.9648898463445206
53947,0.0,9861,93110,0.0,0.0,0.0,99.51,7,1,0,5400,0.8133400761992883,235.70556152994382,4.452645268568918
47633,0.526,12057,265090,0.0,0.0,0.0,98.04,13,0,0,15900,0.4079338417235809,313.3535163093884,5.431425173003714
9158,0.722,17161,187530,1.0,0.0,0.0,99.03,7,0,3,13800,0.40607876092865114,283.34455982795,5.075495337498179
11272,0.092,19722,187570,1.0,0.0,0.0,98.31,11,1,0,5400,0.593962876796006,178.3698316344029,3.5976794287231173
69843,0.083,16066,240050,1.0,0.0,0.0,99.32,7,0,2,1200,0.5829886296534397,-45.817362088472215,-1.2136131294345964
67878,0.457,19353,62520,0.0,0.0,0.0,98.96,13,1,0,5400,0.5797718335526554,174.14080878316526,3.5296314419772
56816,0.062,14974,204030,0.0,0.0,0.0,99.74,6,1,2,11700,0.8612358434333557,410.65111217312483,6.417871013716525
28862,0.022,20451,415140,1.0,0.0,0.0,99.05,14,0,1,39000,0.6509213742118932,650.8665429256225,8.035144441136055
39124,0.053,19357,356320,1.0,0.0,0.0,98.95,18,1,3,34800,0.5976243570325727,594.7790946170029,7.739383968498029
18307,0.047,18629,329310,0.0,0.0,0.0,99.28,13,1,3,18000,0.8976743450819895,527.1385385866591,7.322887611855837
61937,0.285,22279,405040,0.0,0.0,0.0,99.27,15,0,0,41100,0.8602516500329135,749.1393605929277,8.46314719612093
14836,0.0,12782,161090,0.0,0.0,0.0,99.65,5,1,1,7500,0.8278232355855979,304.26464199963357,5.326428811049242
35643,0.445,23372,1605090,0.0,0.0,0.0,99.34,25,0,0,60000,0.7902468840914999,841.2366071568246,8.779215634009255
71792,0.173,14244,199560,0.0,0.0,0.0,99.17,6,1,1,9600,0.8152999140718139,353.5601347394716,5.868317305218989
23464,0.048,19355,219970,0.0,0.0,0.0,99.24,12,1,0,22200,0.8868957542714752,579.783558310586,7.653027505860434
58097,0.649,21549,267570,0.0,0.0,0.0,98.73,21,1,0,18000,0.6340579208510925,440.11982004032274,6.672286129357841
34733,0.075,10234,100100,0.0,0.0,0.0,98.94,15,1,0,7500,0.7319551624183854,279.2051955987897,5.0242699478418835
71983,0.127,13515,180140,0.0,0.0,0.0,98.65,8,1,2,9600,0.8052424195580105,350.8457313010915,5.840184323568842
59182,0.03,28484,137640,0.0,0.0,0.0,99.64,11,1,0,7500,0.8957530365614582,320.73144028173425,5.514919283720092
54895,0.483,14615,111150,0.0,0.0,0.0,99.0,13,1,2,7500,0.5847561836236967,235.43061958402976,4.448830956564798
79219,0.0,18257,107990,0.0,0.0,0.0,99.01,7,1,0,5400,0.8178578762151714,236.75665694740667,4.4672031309072
32784,0.273,21543,82580,0.0,0.0,0.0,98.51,11,1,0,5700,0.7551158096041679,231.88278552000796,4.399375389032398
52679,0.351,21915,129860,0.0,0.0,0.0,98.05,18,1,0,7500,0.6167290660684529,245.58870696479704,4.588029142061295
11977,0.68,19354,150060,0.0,0.0,0.0,98.29,14,0,3,11700,0.426517141160287,260.3087886451619,4.783570722452755
54490,0.056,27390,360140,0.0,0.0,0.0,99.67,11,1,0,9600,0.912660834439605,378.6148915080383,6.119174595132515
26599,0.548,17169,457100,0.0,0.0,0.0,98.77,18,0,1,18000,0.5021610914071689,385.66040114779037,6.1869320927283304
894,0.039,10963,139400,0.0,0.0,0.0,99.59,11,1,0,11700,0.8550449699461257,408.971337287941,6.402796457777971
79507,0.882,25920,158440,0.0,0.0,0.0,99.63,6,0,0,1200,0.6779123730578268,-26.905098929310142,-0.6957646961253849
39622,0.0,23000,31200,0.0,0.0,0.0,98.9,6,0,0,1200,0.823324173663804,-1.6090014957579035,-0.04030604866190224
75465,0.073,23007,480130,0.0,0.0,0.0,98.98,16,0,1,9600,0.8446306999610642,361.3349588110206,5.947849629191526
53217,0.555,12425,60150,0.0,0.0,0.0,99.28,9,1,0,5400,0.5611238854374501,168.46323198269923,3.4371365250874595
10198,0.176,10961,105140,4.0,0.0,0.0,99.63,9,1,0,5400,0.4552263490433718,133.1965203867246,2.8322357060947336
38624,1.0,21181,1018530,0.0,0.0,0.0,99.75,9,0,2,60000,0.737974231124973,819.3537288595812,8.710569341635274
55500,0.097,16800,150060,0.0,0.0,0.0,99.57,6,1,1,3300,0.849440909338107,155.12706595979805,3.2146394707513917
3302,0.111,16431,90070,0.0,0.0,0.0,98.17,9,1,0,5400,0.7666088305930198,224.5675124006288,4.296007820860387
79670,0.014,19353,202550,0.0,0.0,0.0,99.18,10,0,2,5400,0.8594162106020843,246.22658912875048,4.596652763371254
33851,0.025,27025,152520,0.0,0.0,0.0,99.53,8,1,1,11700,0.9327854614457475,429.430653213884,6.582161068545843
2715,0.354,24461,60110,0.0,0.0,0.0,99.37,7,0,0,1200,0.7855086435981712,-7.828890300588231,-0.1976501749560211
25110,0.398,18992,250130,0.0,0.0,0.0,99.37,7,1,3,11700,0.7796415993257934,387.73475363275986,6.206655025356148
52170,1.0,12420,183810,0.0,0.0,0.0,99.69,5,1,0,11700,0.5236171774050137,301.5085295030082,5.29411539473424
24149,0.833,23010,200030,1.0,0.0,0.0,98.54,24,1,0,7500,0.416758048145852,173.85757272870995,3.5250482153468
62644,0.198,18994,139610,0.0,0.0,0.0,98.9,13,0,2,5400,0.7093967997562342,210.21429998569405,4.087614765171629
75706,0.415,18260,246720,0.0,0.0,0.0,99.61,9,1,0,15900,0.7063085994279104,436.2509387476007,6.639943645103637
14810,1.0,9865,57070,0.0,0.0,0.0,99.54,4,0,0,5700,0.3844000809658066,114.54707286468364,2.4901355914031864
19070,0.275,17530,357420,0.0,0.0,0.0,99.19,8,1,1,22200,0.8354185150030758,563.6120546489252,7.556198163553386
76189,0.544,30673,148290,0.0,0.0,0.0,98.89,10,1,0,7500,0.6519880572876257,256.3424916978258,4.731588659194514
22236,0.229,23007,52530,0.0,0.0,0.0,96.11,8,1,1,3300,0.7438597035237333,132.9633534347157,2.828056273698367
75945,0.189,16800,191980,0.0,0.0,0.0,98.68,17,0,0,11700,0.7008321032343755,363.8117410955903,5.972862844544941
15689,0.008,31763,120030,1.0,0.0,0.0,99.05,15,1,0,7500,0.7667676132685187,288.575025192887,5.1394697834761
46568,1.0,23373,125090,0.0,0.0,0.0,99.84,3,0,0,1200,0.6702863166780876,-28.344875830799523,-0.7343328537959914
530,0.67,19720,177670,0.0,0.0,0.0,99.59,10,1,1,7500,0.5667945127453438,229.53986627255944,4.36647460023445
37239,0.676,15700,179820,0.0,0.0,0.0,98.57,9,1,2,20100,0.550971961999468,432.9150323766546,6.611804387283486
48926,0.078,24462,159610,0.0,0.0,0.0,98.85,11,0,1,7500,0.8333038779696669,305.6300513773724,5.34235495826862
26381,0.263,16433,275060,0.0,0.0,0.0,98.84,24,0,2,13800,0.6985652524392166,400.39201876379866,6.324809213230269
37977,0.282,17161,109420,0.0,0.0,0.0,99.0,8,1,0,5400,0.7770664409837501,227.10340697490165,4.33205524159847
73065,0.037,22279,154000,0.0,0.0,0.0,99.01,11,1,2,7500,0.853109298162149,310.50872788314103,5.39881778707074
53250,0.401,10963,63050,0.0,1.0,0.0,99.74,3,1,0,3300,0.22605301030156885,-37.84314171634506,-0.9922771316531032
71116,0.279,19718,134500,0.0,0.0,0.0,98.98,12,1,1,5400,0.7424280495394756,218.602773856942,4.21031342293693
3822,0.611,28847,135110,0.0,0.0,0.0,99.42,8,1,0,7500,0.7229379441984851,276.7238364909092,4.99330757847863
17900,1.0,13155,120100,1.0,0.0,0.0,99.6,5,1,2,5400,0.2713058593021402,53.173925831587745,1.2447783847057525
33350,0.39,27745,105150,0.0,0.0,0.0,99.28,10,1,0,5400,0.7357202223521604,216.9223207681363,4.185939017000338
38874,0.079,18987,627150,0.0,0.0,0.0,99.33,9,0,2,26400,0.9025637767669681,632.792984355949,7.944328348822967
26019,0.121,23006,78020,0.0,0.0,0.0,99.28,9,0,1,1200,0.8624929635755281,4.60336013737527,0.114424320100458
33158,0.617,26651,169470,0.0,0.0,0.0,99.62,10,1,0,13800,0.6832332903838636,395.2896181196523,6.277628192805082
76572,0.0,20082,435070,0.0,0.0,0.0,98.24,16,0,0,26400,0.6879508691205471,557.9979280873468,7.521656799084368
15639,0.047,13147,300040,0.0,0.0,0.0,99.12,16,1,1,24300,0.7978917122743082,575.6064027700501,7.628389913047108
19762,0.181,18620,207490,0.0,0.0,0.0,99.13,15,0,2,24300,0.7971586021076091,575.3570214236912,7.626910863744577
42326,0.015,27755,24150,0.0,0.0,0.0,99.58,5,1,0,1200,0.9099000501966973,11.835733159555707,0.2915585455464964
47838,0.251,13153,262630,0.0,0.0,0.0,99.19,14,1,0,18000,0.772348054026573,488.63198887844027,7.052359202318441
43180,0.823,22279,187540,0.0,0.0,0.0,99.04,7,0,0,3300,0.6191715382634108,103.47351522964624,2.279328787203853
71329,0.004,19350,97790,0.0,0.0,0.0,99.33,15,1,1,1200,0.8294384004828568,-0.6243251596557643,-0.015620316015654279
72304,0.074,23009,92570,0.0,0.0,0.0,99.88,4,1,2,9600,0.8982587310118365,375.0397487387138,6.084332859640926
13763,0.06,12422,60060,2.0,0.0,0.0,99.68,8,0,1,1200,0.4952373617844156,-65.59617759187464,-1.7820305610658926
26052,0.399,19358,273120,0.0,0.0,1.0,98.97,15,1,1,13800,0.4961241669755621,324.7317841974751,5.559550400348403
5308,0.156,21179,87870,0.0,0.0,0.0,99.84,4,0,0,3300,0.8566967241562966,156.5719860946533,3.239106014022809
57369,0.463,23004,190930,1.0,0.0,0.0,99.42,9,1,0,11700,0.5657559833923611,317.61313399796535,5.479818002355468
18476,0.014,16430,241920,0.0,0.0,0.0,99.7,6,1,0,7500,0.8677412650989533,314.05872753072424,5.439472602580975
70393,0.052,16067,600070,0.0,0.0,0.0,99.89,9,1,0,24300,0.8774335673653553,601.6557128529498,7.777915296536092
11520,0.16,16433,266220,3.0,0.0,0.0,98.99,18,1,1,11700,0.5270493582547671,302.85590135190296,5.309940168556251
50552,0.044,21911,129150,0.0,0.0,0.0,99.87,5,0,0,5400,0.8767102522030125,250.0662857916775,4.648272647007909
28860,0.001,17162,123090,0.0,0.0,0.0,98.51,16,0,1,5400,0.7447581036477174,219.18383438148027,4.218717713005994
54656,0.01,11324,87690,0.0,0.0,0.0,98.93,10,1,2,5400,0.767707410615045,224.8351228765949,4.299822664757772
74319,0.016,36150,285040,0.0,0.0,0.0,99.88,17,0,0,13800,0.9041893457051535,461.77112816633974,6.847621420230389
56820,0.399,22640,212630,0.0,0.0,0.0,98.78,15,1,1,9600,0.7243595674046506,328.03383215403295,5.596055957975966
16109,0.396,11693,69130,0.0,0.0,0.0,99.24,7,1,0,5700,0.6942290677236229,216.18647034517102,4.175233474838626
